,unnormalized,normalized
5613,Bejamin said he would rn awayyy and he did .,Benjamin said he would run away and he did.
5614,Who is sailing to Ithaca ?,Who is sailing to Ithaca?
5615,Thy sat on Mary .,They sat on Mary.
5616,Jule filed lettrs t herself .,Julie filed letters to herself.
5617,Heeeee looked itt up,He looked it up
5618,Whos theReee ?,Whos there?
5619,He might no culd hav done t,He might no could have done it
5620,The shp crs,The sheep cries
5621,for Aphrdite tooo apper t be happy would be impossibleeee .,For Aphrodite to appear to be happy would be impossible.
5622,"If one were to steal talismans frm witches , den tht would be dangerous .","If one were to steal talismans from witches, then that would be dangerous."
5623,Bill did not destroy the world .,Bill did not destroy the world.
5624,Both the twins mite haveee been at the party .,Both the twins might have been at the party.
5625,Thatt Plato loved Aster was obvious .,That Plato loved Aster was obvious.
5626,the pigsss gurnt,The pigs grunt
5627,The analysis f Lucy took longer thn thattt of Gomz .,The analysis of Lucy took longer than that of Gomez.
5628,I climbed up the tree .,I climbed up the tree.
5629,I inquired when we couLd leave .,I inquired when we could leave.
5630,Where Alison andd David soaked theirr feet Was in the kicthen,Where Alison and David soaked their feet was in the kitchen
5631,THt photograph of Janee of Lucys,That photograph of Jane of Lucys
5632,The constant reading f Shakepae satisfied meeee,The constant reading of Shakespeare satisfied me
5633,What sheeeeee thoughtt was thatt the poison was nutrlsed,What she thought was that the poison was neutralised
5634,"BEcase she had ggot the highestt marks , MeDea was happy","Because she had got the highest marks, Medea was happy"
5635,When didddd u arrive ?,When did you arrive?
5636,Whch poisoos plant is it certain that we will finddd in Amzona ?,Which poisonous plant is it certain that we will find in Amazonia?
5637,The microphone salesmmans 0 rtartng patter was RelEnTlss .,The microphone salesmans 0 irritating patter was relentless.
5638,The Pris II sd to know is no moe,The Paris I used to know is no more
5639,Sam gave the clak to Lee and gave the magic cahlicee t Mathtw .,Sam gave the cloak to Lee and gave the magic chalice to Matthew.
5640,Giglamsh has eaten the hney,Gilgamesh has eaten the honey
5641,"I will e8 a mano , and Gillian will to .","I will eat a mango, and Gillian will too."
5642,Computer viruses increased in virulenceee lst year .,Computer viruses increased in virulence last year.
5643,"At Trade , Anson danced extreemlyyy frantically","At Trade, Anson danced extremely frantically"
5644,Richard is going to chp sm Wooddd .,Richard is going to chop some wood.
5645,The poem that Homerr wrot .,The poem that Homer wrote.
5646,Who did drink the poson ?,Who did drink the poison?
5647,Evans everyyyyy idea was compltly insane .,Evans every idea was completely insane.
5648,"Slly is making scones , and Gillian is too .","Sally is making scones, and Gillian is too."
5649,Everyone claimed that thee poison was neutralized .,Everyone claimed that the poison was neutralized.
5650,Tht Jason arrived infuriated Medeaaa .,That Jason arrived infuriated Medea.
5651,"Medea was hppy , becau she had got the highest markss","Medea was happy, because she had got the highest marks"
5652,Keep yourself clean !,Keep yourself clean!
5653,Csndra hassss 4e2ld disaster again .,Cassandra has foretold disaster again.
5654,Bills reading of Shakespeare satised me,Bills reading of Shakespeare satisfied me
5655,Who poisoned wh ?,Who poisoned who?
5656,Pigs lov truffles .,Pigs love truffles.
5657,Owners of pigs lovE ttruffless,Owners of pigs love truffles
5658,"S qUickly did the vampire Move , thatttt we brely sawwww him .","So quickly did the vampire move, that we barely saw him."
5659,humans love to at those pigs .,Humans love to eat those pigs.
5660,JAson persuaded Medea to b tre8ed by the doCtor,Jason persuaded Medea to be treated by the doctor
5661,It is ttr that i might be doing somethinggggg other than going to the party .,It is true that I might be doing something other than going to the party.
5662,Jason ekspected Medea to be tre8ed by the doctor,Jason expected Medea to be treated by the doctor
5663,Moya said she liked football .,Moya said she liked football.
5664,Anson became the Mayor,Anson became the Mayor
5665,Kane 8e dirtt .,Kane ate dirt.
5666,Benjamin gave theeeeeeee cloak to NathanN,Benjamin gave the cloak to Nathan
5667,"Psidon had rn wy , because th ExEcutioner murderEd Heraa .","Poseidon had run away, because the executioner murdered Hera."
5668,A description of Aristotle is in the book .,A description of Aristotle is in the book.
5669,Julie and jeNnyy did .,Julie and Jenny did.
5670,ItS quarter past four .,Its quarter past four.
5671,Owners of a pig love tooo eat trffles .,Owners of a pig love to eat truffles.
5672,NO one expected Agamemnon to to winnnn,No one expected Agamemnon to to win
5673,EuClid wasss interEsteD in Platos dscrption fffFff gemoetry .,Euclid was interested in Platos description of geometry.
5674,Medeaaa poisoned who ?,Medea poisoned who?
5675,which cityyyy the claim th8 Philip would invade .,which city the claim that Philip would invade.
5676,I hvnt lft yet,I havent left yet
5677,Who ate the cake ?,Who ate the cake?
5678,Why did youuu say dat you were leaving ?,Why did you say that you were leaving?
5679,Micahel left Meg,Michael left Meg
5680,The reding of Shakspeare satisfied me,The reading of Shakespeare satisfied me
5681,No onee eexpectedddd t winnnn .,No one expected to win.
5682,Th bear sniffs,The bear sniffs
5683,It hung on te wall .,It hung on the wall.
5684,Know yourslf !,Know yourself!
5685,Agamemnon ttmpted to behAve well .,Agamemnon attempted to behave well.
5686,Julie felt he ws theree,Julie felt he was there
5687,HeEeee thuohgt that Dracul was the Prncie of Darkness .,He thought that Dracula was the Prince of Darkness.
5688,I hve eaten already,I have eaten already
5689,It is not true tht I have left yettt .,It is not true that I have left yet.
5690,I could have been flying helicopters by now .,I could have been flying helicopters by now.
5691,I asked if Mede poisoned Jason .,I asked if Medea poisoned Jason.
5692,Who did you persuade to go ?,Who did you persuade to go?
5693,What dIddd yu get l for Xmas ?,What did you get all for Xmas?
5694,Some disrguuntttled old pigs in those ditches love truffles,Some disgruntled old pigs in those ditches love truffles
5695,Jasonnnnn wAs killed .,Jason was killed.
5696,Gilgamseh s in thee dungeon .,Gilgamesh is in the dungeon.
5697,AnsOn will come 2 the party .,Anson will come to the party.
5698,Glgmsh has never fwn a dragon .,Gilgamesh has never flown a dragon.
5699,"HHiss analysis , III never likEd .","His analysis, I never liked."
5700,That bottle of water might .,That bottle of water might.
5701,She tk a picture of the foenix,She took a picture of the phoenix
5702,Who did Medea poisonn ?,Who did Medea poison?
5703,I tried for to get dem .,I tried for to get them.
5704,Who did you intrOduce Athena tooooo ?,Who did you introduce Athena to?
5705,Can i keep the screwdriver jst like a carpenter keep the screwdivrer ?,Can I keep the screwdriver just like a carpenter keep the screwdriver?
5706,Json refrained from caSttinG the ssspell,Jason refrained from casting the spell
5707,Andrewww likss lard On his sandwiches,Andrew likes lard on his sandwiches
5708,Who seemed to havvee left first ?,Who seemed to have left first?
5709,Hiearchy of Projctionns :,Hierarchy of Projections:
5710,We decided to pantitt the bathroom a lurid lm green colour .,We decided to paint the bathroom a lurid lime green colour.
5711,She kicked hr,She kicked her
5712,I believed there t be trhee books on the subject .,I believed there to be three books on the subject.
5713,Whichhhhh girl 88 the cake ?,Which girl ate the cake?
5714,That Plato lievd in the cityyyy of Athens ws wellk-nown .,That Plato lived in the city of Athens was well-known.
5715,For you to d that would be a mistake .,For you to do that would be a mistake.
5716,I belive she is pregnant,I believe she is pregnant
5717,No one expected him tO to winnnnnnn .,No one expected him to to win.
5718,"Hell no can d it , can he ?","Hell no can do it, can he?"
5719,"Raffi slept well , and Gillian will 2o","Raffi slept well, and Gillian will too"
5720,Hes bound to shold do it,Hes bound to should do it
5721,It might have cracked open,It might have cracked open
5722,Whr did Persus se the Gorgon ?,Where did Perseus see the Gorgon?
5723,The scissors are lst,The scissors are lost
5724,Gilgameshh sshld be swlly tckling the mNdrake,Gilgamesh should be slowly tickling the mandrake
5725,I belIeved shee was pregnant,I believed she was pregnant
5726,Anson gave Fluffy 2 JNny .,Anson gave Fluffy to Jenny.
5727,Theeeee very old and extremely wise oWl .,The very old and extremely wise owl.
5728,Thee owl hated the evil bat aND loved the wis eagle .,The owl hated the evil bat and loved the wise eagle.
5729,No one could remove the blood on de wall,No one could remove the blood on the wall
5730,the bys should could all go,The boys should could all go
5731,Anson dacnd extremely frantically at Trade .,Anson danced extremely frantically at Trade.
5732,Julie becam a fond of Lloydd .,Julie became a fond of Lloyd.
5733,Lees yooungestt and Dwns oldst son ran way .,Lees youngest and Dawns oldest son ran away.
5734,Ansn kicked the cat,Anson kicked the cat
5735,MRelin is extremely evil .,Merlin is extremely evil.
5736,Syntax s easy to pretend thatt you can teach .,Syntax is easy to pretend that you can teach.
5737,I Want toooo e8 macaroni,I want to eat macaroni
5738,Which ode did which poet write ?,Which ode did which poet write?
5739,wh drank the poison ?,Who drank the poison?
5740,What Medea arrngd was forrr her chilrden to be pisned .,What Medea arranged was for her children to be poisoned.
5741,No onesssss mother had baked anythingggg .,No ones mother had baked anything.
5742,What kind of actor is he ?,What kind of actor is he?
5743,w8 did she eat ?,What did she eat?
5744,I have often a cold .,I have often a cold.
5745,Who did Maria say that shed kss andddddd kick ?,Who did Maria say that shed kiss and kick?
5746,Where did they g all forrrr their holidays ?,Where did they go all for their holidays?
5747,They came running over the hill and throgh the wods,They came running over the hill and through the woods
5748,How quickly did yu eat thee cake ?,How quickly did you eat the cake?
5749,Many fishhh are inn the sea .,Many fish are in the sea.
5750,THey arrived first,They arrived first
5751,People were plyng n theeE beach .,People were playing on the beach.
5752,The bears ssniff,The bears sniff
5753,His book,His book
5754,He looekd de NumBrrRr up,He looked the number up
5755,Has Jenny e8en a cak ?,Has Jenny eaten a cake?
5756,Which goddess helped us ?,Which goddess helped us?
5757,Medea killed Jason .,Medea killed Jason.
5758,Ron certiNlyY will buyyy a dog .,Ron certainly will buy a dog.
5759,Whichhhhhh king did you wonder innnvded whicH city ?,Which king did you wonder invaded which city?
5760,No one expected Agamemnon to win .,No one expected Agamemnon to win.
5761,Gilgamesh never flies dragons .,Gilgamesh never flies dragons.
5762,The dragons hve alll been slain .,The dragons have all been slain.
5763,The amoebaaa coghed and then it fainted .,The amoeba coughed and then it fainted.
5764,I watt to sing,I want to sing
5765,He will can g,He will can go
5766,Having rad Shakespeare stsfied me,Having read Shakespeare satisfied me
5767,Gilgamesh mayyyyyy sek Ishtar,Gilgamesh may seek Ishtar
5768,Th librarian likes books .,The librarian likes books.
5769,Alison and David soked tehiR feet after dinnnner,Alison and David soaked their feet after dinner
5770,Mry is fastrr than Jon Is .,Mary is faster than John is.
